Index,Progress,Age,HouseoldIncome,Gender_2,Gender,Ethnicity,Ethnicity_selfDefined,Religious_Affilation,Highest_Qualification,SocialMedia_Use,Extremism_ScorePCA,Extermism_scoreScaled,Strain_Resilience_score,Strain_Score,Resilience_score,Confidence_inSelf,Political_Engagment,Political_LeaningRight_Left,Racism_scale
2205,100,67,2,1,1,3,Scottish,2,3,0.619845184,0.575972675,0,1.11218591,-0.066277731,1.773638095,-0.448389427,1.754814289,1.248854975,0.659596953
2206,100,67,2,0,0,3,English,2,3,0.917245016,-0.681703329,1.762432403,0.973579997,0.428450773,0.563450978,-0.59240288,-0.682311858,-0.343984735,0.659596953
2207,100,40,9,0,0,3,English,0,NA,NA,-0.765181922,1.879414342,0.349853387,0.675815025,-0.300968391,0.991745102,-0.073030321,-1.051913495,-0.53273338
2208,100,53,8,0,0,3,English,2,3,0.025045521,0.575972675,0,0.141944517,1.005634028,-0.906061949,0.703718197,NA,-0.43247583,1.057040397
2211,100,61,1,1,1,3,NA,0,3,NA,0.4317872,0.202052955,0.211247474,-0.478551484,1.082102599,-0.880429786,NA,0.894890595,1.057040397
2212,100,21,0,0,0,3,British,2,4,0.85776505,-0.333975908,1.275147862,0.141944517,0.758269776,-0.992503886,0.127664385,NA,-0.520966925,-1.725063713
2215,89,60,1,1,1,3,NA,0,3,-1.045593873,0.575972675,0,0.765671127,0.840724526,0.390567104,-0.016349068,NA,0.45243512,0.262153509
2217,100,NA,11,0,0,3,English,5,3,-0.629234108,-0.69143963,1.776076277,-0.828296875,-2.4574655,1.860080032,-0.304375974,-0.073030321,-1.582860065,1.057040397
2218,100,73,3,0,0,3,English,0,2,-0.391314243,0.575972675,0,-1.174811659,-0.890825237,-0.646736139,1.279772008,NA,-1.84833335,1.057040397
2222,100,NA,4,1,1,3,English,2,NA,-1.224033772,NA,NA,-0.412479136,0.263541272,-0.992503886,-0.016349068,-0.073030321,-0.43247583,-0.135289936
2224,100,30,2,0,0,3,English,5,2,0.619845184,-0.745757999,1.852194811,-0.481782092,0.263541272,-1.078945823,-0.736416333,-0.073030321,-1.49436897,-2.122507157
2225,100,NA,11,0,0,3,English,0,2,-0.629234108,-0.572497737,1.609398177,0.765671127,0.675815025,0.044799357,-0.304375974,-0.682311858,0.009979645,-0.135289936
2226,100,66,1,0,0,3,British,0,0,-0.748194041,0.575972675,0,-0.481782092,-0.478551484,-0.300968391,1.567798914,-0.682311858,-0.9634224,-1.725063713
2227,87,NA,5,0,0,3,English,0,1,-0.688714075,-1.029632739,2.25,-0.620388006,-0.808370487,-0.128084517,0.559704744,NA,-0.43247583,-0.930176824
2228,100,71,3,0,0,3,English,0,3,-0.867153974,0.457030781,0.166678101,-0.204570266,0.01617702,-0.300968391,-0.016349068,-0.682311858,-1.49436897,-1.327620268
2229,100,54,6,0,0,3,British,0,1,-0.034434445,0.575972675,0,-0.481782092,-1.632917993,1.427870347,NA,NA,-0.60945802,0.262153509
2230,100,NA,6,0,0,3,English,NA,2,-0.986113906,0.575972675,0,0.4884593,0.840724526,-0.473852265,-0.880429786,NA,NA,-0.53273338
2231,100,62,7,0,0,3,English,2,3,NA,0.575972675,0,0.765671127,-0.478551484,1.254986473,1.567798914,-0.682311858,1.69131045,NA
2233,100,50,11,0,0,3,Scottish,0,1,-0.569754142,-2.635238154,4.5,-2.283658965,-3.034648754,-0.128084517,0.847731649,NA,-1.14040459,0.262153509
2234,89,NA,10,0,0,3,English,2,3,-0.688714075,0.575972675,0,-1.382720528,-1.797827494,0.304125167,-0.160362521,-0.682311858,-1.582860065,0.262153509
2239,100,39,4,1,1,3,English,2,3,-1.402473671,0.575972675,0,0.69636817,1.088088778,-0.473852265,-0.448389427,NA,-0.167002545,-0.930176824
2240,100,60,1,1,1,3,English,2,2,-0.510274176,0.575972675,0,-0.343176179,0.181086521,-0.819620013,-1.168456692,NA,1.16036388,0.659596953
2241,100,51,2,1,1,3,English,2,NA,-0.034434445,0.575972675,0,-0.758993919,0.01617702,-1.16538776,0.559704744,NA,-0.78644021,-0.930176824
2242,100,NA,3,0,0,3,English,2,5,1.214644848,0.575972675,0,1.874518433,-0.148732481,1.946521969,1.85582582,1.145532752,-1.051913495,-1.327620268
2243,89,NA,5,0,0,3,English,0,1,-0.688714075,-3.274996926,5.39651992,0.141944517,0.181086521,-0.214526454,-0.304375974,NA,-0.60945802,-0.53273338
2244,100,NA,1,1,1,4,European ,0,5,0.20348542,0.575972675,0,1.32009478,0.758269776,0.649892915,-0.448389427,-0.073030321,0.363944025,0.659596953
2246,100,NA,0,0,0,0,Pakistani,4,NA,0.798285083,-5.846448982,9,-0.343176179,0.428450773,-1.078945823,-0.59240288,-0.073030321,-1.051913495,-3.314837489
2248,100,NA,9,0,0,3,English,2,5,0.738805117,0.07363807,0.70394186,-0.412479136,-1.797827494,1.687196158,-2.032537409,NA,1.69131045,-0.53273338
2249,100,55,8,0,0,3,British,2,4,-0.331834277,0.575972675,0,0.765671127,1.170543529,-0.473852265,0.991745102,NA,0.894890595,1.057040397
2250,89,23,7,0,0,3,German,0,3,0.679325151,-1.934207839,3.517617782,0.072641561,0.923179277,-0.733178076,0.847731649,-0.073030321,-1.405877875,-1.327620268
2252,100,52,15,0,0,3,English,0,3,3.355923635,0.311521857,0.370585658,1.250791823,1.005634028,0.304125167,-0.448389427,-0.682311858,-0.697949115,-0.930176824
2253,100,65,2,0,0,3,English,0,1,1.98788441,-1.7920985,3.318474201,-0.204570266,1.005634028,-1.511155508,-0.59240288,-0.682311858,-1.49436897,-2.122507157
2254,100,NA,5,0,0,3,English,2,1,-1.402473671,0.575972675,0,1.597306606,1.170543529,0.563450978,1.279772008,NA,-2.113806635,-0.53273338
2258,89,NA,4,1,1,3,English,2,3,-0.867153974,0.575972675,0,-1.174811659,-1.22064424,-0.387410328,-0.59240288,NA,0.8063995,0.262153509
2260,87,NA,14,0,0,3,English,0,3,-0.688714075,0.575972675,0,0.003338604,0.428450773,-0.646736139,0.415691291,-0.073030321,-0.697949115,-1.327620268
2262,100,NA,2,1,1,3,English,2,3,-1.283513738,-1.440403995,2.825630424,-0.135267309,0.840724526,-1.251829697,-0.448389427,-0.073030321,0.009979645,1.057040397
2263,100,NA,8,0,0,3,English,0,1,-0.212874344,0.153642767,0.591828032,2.775456869,0.675815025,2.551615527,-0.448389427,NA,0.363944025,0.659596953
2266,89,28,4,0,0,3,Welsh,0,2,-0.629234108,0.575972675,0,-1.521326442,-2.869739253,1.427870347,-0.59240288,NA,0.009979645,-0.135289936
